code A,code B,位置,N0,E0,試験深度,砂,シルト,粘土,土粒子密度,distance,wl0
O619K069,No.60B-4,"大阪府泉州沖海域                    ",34.4272217,135.2758331,-18.4,1,42,57,2.649,4006.338913,119.8
O619K066,No.60B-1,"大阪府泉州沖海域                    ",34.4333333,135.2683328,-20.4,3,50,47,2.636,4972.503694,119.6
O617K038,"No.57-3 ","大阪府泉州沖海域                    ",34.4388286,135.2637933,-18.7,1,40,59,2.697,5694.240586,119.4
O617K038,"No.57-3 ","大阪府泉州沖海域                    ",34.4388286,135.2637933,-19.7,2,41,57,2.702,5694.240586,118.9
O619K066,No.60B-1,"大阪府泉州沖海域                    ",34.4333333,135.2683328,-23.4,2,51,47,2.655,4972.503694,118.4
O619K068,No.60B-3,"大阪府泉州沖海域                    ",34.4297217,135.2725,-18.4,2,29,69,2.687,4419.678326,118.0
O619K068,No.60B-3,"大阪府泉州沖海域                    ",34.4297217,135.2725,-19.4,1,27,72,2.669,4419.678326,117.0
O619K068,No.60B-3,"大阪府泉州沖海域                    ",34.4297217,135.2725,-21.4,1,35,64,2.702,4419.678326,116.6
O620K094,"No.E-4  ","大阪府泉州沖海域                    ",34.4370886,135.2575383,-20.3,0,35,65,2.66,5996.489008,116.3
O619K066,No.60B-1,"大阪府泉州沖海域                    ",34.4333333,135.2683328,-21.4,5,51,44,2.664,4972.503694,116.1
O619K068,No.60B-3,"大阪府泉州沖海域                    ",34.4297217,135.2725,-20.4,2,29,69,2.686,4419.678326,115.0
O619K067,No.60B-2,"大阪府泉州沖海域                    ",34.4316667,135.2697214,-18.4,1,36,62,2.649,4753.818703,114.5
O619K066,No.60B-1,"大阪府泉州沖海域                    ",34.4333333,135.2683328,-19.4,3,44,53,2.65,4972.503694,114.3
O609K013,"No.56-3 ","大阪府泉州沖海域                    ",34.4353603,135.2673497,-19.2,2,38,60,2.647,5192.00076,113.8
O617K038,"No.57-3 ","大阪府泉州沖海域                    ",34.4388286,135.2637933,-22.7,1,45,54,2.679,5694.240586,113.7
O619K068,No.60B-3,"大阪府泉州沖海域                    ",34.4297217,135.2725,-22.4,1,30,69,2.665,4419.678326,113.5
O619K066,No.60B-1,"大阪府泉州沖海域                    ",34.4333333,135.2683328,-18.4,2,49,49,2.643,4972.503694,113.3
O612K012,"No.56-2 ","大阪府泉州沖海域                    ",34.4272217,135.2752783,-19.6,3,56,41,2.672,4044.386165,113.1
O619K066,No.60B-1,"大阪府泉州沖海域                    ",34.4333333,135.2683328,-22.4,3,50,47,2.647,4972.503694,112.9
O619K069,No.60B-4,"大阪府泉州沖海域                    ",34.4272217,135.2758331,-19.4,1,37,62,2.662,4006.338913,112.6
O620K090,"No.A-7  ","大阪府泉州沖海域                    ",34.4403264,135.26236,-19.1,0,41,59,2.734,5904.530147,112.5
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-17.8,1,42,57,2.706,5710.841483,112.5
O617K038,"No.57-3 ","大阪府泉州沖海域                    ",34.4388286,135.2637933,-20.7,2,45,53,2.698,5694.240586,112.3
O619K069,No.60B-4,"大阪府泉州沖海域                    ",34.4272217,135.2758331,-20.4,3,38,59,2.662,4006.338913,112.2
O612K012,"No.56-2 ","大阪府泉州沖海域                    ",34.4272217,135.2752783,-20.6,3,47,50,2.674,4044.386165,111.9
O620K095,"No.F-1  ","大阪府泉州沖海域                    ",34.4420781,135.260635,-20.4,0,46,54,2.709,4753.818703,111.7
O609K013,"No.56-3 ","大阪府泉州沖海域                    ",34.4353603,135.2673497,-20.7,3,38,59,2.648,5192.00076,111.7
O619K067,No.60B-2,"大阪府泉州沖海域                    ",34.4316667,135.2697214,-20.4,2,49,49,2.649,4753.818703,111.7
O619K067,No.60B-2,"大阪府泉州沖海域                    ",34.4316667,135.2697214,-23.4,4,54,42,2.646,4753.818703,111.6
O620K090,"No.A-7  ","大阪府泉州沖海域                    ",34.4403264,135.26236,-21.1,0,41,59,2.703,5904.530147,111.2
O620K094,"No.E-4  ","大阪府泉州沖海域                    ",34.4370886,135.2575383,-21.3,0,49,51,2.638,5996.489008,111.1
O619K067,No.60B-2,"大阪府泉州沖海域                    ",34.4316667,135.2697214,-19.4,3,51,46,2.642,4753.818703,110.8
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-21.3,1,44,55,2.69,6990.425817,110.6
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-20.25,1,54,45,2.713,7305.673507,110.6
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-20.25,1,54,45,2.713,7305.673507,110.6
O619K069,No.60B-4,"大阪府泉州沖海域                    ",34.4272217,135.2758331,-21.4,1,39,60,2.641,4006.338913,110.2
O619K070,No.60B-5,"大阪府泉州沖海域                    ",34.4252783,135.2783336,-18.4,0,56,44,2.663,3691.310124,110.1
O620K094,"No.E-4  ","大阪府泉州沖海域                    ",34.4370886,135.2575383,-19.3,0,47,53,2.668,5996.489008,109.9
O612K012,"No.56-2 ","大阪府泉州沖海域                    ",34.4272217,135.2752783,-21.6,3,54,43,2.669,4044.386165,108.9
O619K066,No.60B-1,"大阪府泉州沖海域                    ",34.4333333,135.2683328,-24.4,3,40,57,2.654,4972.503694,108.1
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-18.8,2,47,51,2.701,5710.841483,108.0
O621K104,"No.B-2  ","大阪府泉州沖海域                    ",34.4388886,135.2636119,-19.8,1,43,56,2.701,5710.841483,108.0
O617K055,No.57-20,"大阪府泉州沖海域                    ",34.43697,135.2386933,-21.7,1,49,50,2.686,5694.240586,107.8
O617K049,No.57-14,"大阪府泉州沖海域                    ",34.4434353,135.2498317,-23.3,2,60,38,2.659,6990.425817,107.8
