kyori,depth,wl0
1303.754983,-14.45,71.6
1933.199036,-20.33,36.8
3016.60316,-17.9,97.1
3100.77863,-21.33,39.6
3100.77863,-17.4,80.7
3376.250012,-20.4,54
3376.250012,-19.4,75.5
3691.310124,-22.4,67.5
3691.310124,-21.4,73.6
3691.310124,-20.4,98.9
3691.310124,-19.4,105.8
3691.310124,-18.4,110.1
4006.338913,-25.35,34.3
4006.338913,-24.4,59.5
4006.338913,-23.4,88.8
4006.338913,-22.4,104.5
4006.338913,-21.4,110.2
4006.338913,-20.4,112.2
4006.338913,-19.4,112.6
4006.338913,-18.4,119.8
4044.386165,-25.6,42.2
4044.386165,-24.6,86
4044.386165,-23.6,74.4
4044.386165,-22.6,100.8
4044.386165,-21.6,108.9
4044.386165,-20.6,111.9
4044.386165,-19.6,113.1
4419.678326,-27.4,74
4419.678326,-26.4,88.8
4419.678326,-25.4,89
4419.678326,-24.4,100
4419.678326,-23.4,105.4
4419.678326,-22.4,113.5
4419.678326,-21.4,116.6
4419.678326,-20.4,115
4419.678326,-19.4,117
4419.678326,-18.4,118
4753.818703,-26.4,84.2
4753.818703,-25.4,89.5
4753.818703,-24.4,99.8
4753.818703,-23.4,111.6
4753.818703,-22.4,105.6
4753.818703,-21.4,106.2
4753.818703,-20.4,111.7
4753.818703,-19.4,110.8
4753.818703,-18.4,114.5
4972.503694,-31.23,52.5
4972.503694,-30.4,74
4972.503694,-29.4,90.2
4972.503694,-28.4,83.3
4972.503694,-27.4,81.7
4972.503694,-26.4,103
4972.503694,-25.4,96.4
4972.503694,-24.4,108.1
4972.503694,-23.4,118.4
4972.503694,-22.4,112.9
4972.503694,-21.4,116.1
4972.503694,-20.4,119.6
4972.503694,-19.4,114.3
4972.503694,-18.4,113.3
5192.00076,-31.2,57.1
5192.00076,-29.7,74.3
5192.00076,-28.2,83.4
5192.00076,-26.7,89.9
5192.00076,-25.2,97.5
5192.00076,-23.7,106.7
5192.00076,-22.2,107.5
5192.00076,-20.7,111.7
5192.00076,-19.2,113.8
5265.068009,-32.25,66.2
5265.068009,-30.3,79.5
5265.068009,-28.3,81.4
5265.068009,-26.3,86.1
5265.068009,-24.3,97
5265.068009,-22.3,98.1
5265.068009,-20.3,104.8
