kyori,Z0,wl0
7671.064552,-45.15,79.7
7671.064552,-45.65,78.6
7671.064552,-46.25,64.6
7671.064552,-46.75,62.9
7671.064552,-47.15,61.4
7671.064552,-47.75,61.5
7671.064552,-48.25,61.6
7671.064552,-48.75,60.1
7671.064552,-49.15,58.1
7671.064552,-49.75,63.8
7671.064552,-50.35,69.5
7671.064552,-50.75,68.4
7671.064552,-51.2,64.3
7671.064552,-51.7,63.2
7618.316711,-19.2,98.6
7618.316711,-21.2,96.7
7618.316711,-23.2,94.4
7618.316711,-25.2,84.4
7618.316711,-27.23,88.3
7618.316711,-29.23,89
7618.316711,-31.23,90.4
7618.316711,-33.23,83
7618.316711,-35.2,90.8
7618.316711,-37.23,87.4
7618.316711,-38.23,87.2
7618.316711,-39.23,84.9
7618.316711,-40.23,85.7
7618.316711,-41.23,80.5
7618.316711,-42.23,78.2
7618.316711,-43,85
7618.316711,-44.05,90.3
7618.316711,-44.48,85.2
7618.316711,-45.05,77.1
7618.316711,-45.48,77.2
7618.316711,-46.05,66.7
7618.316711,-46.48,66.6
7618.316711,-47.05,67.8
7618.316711,-47.48,87.7
7618.316711,-48.05,76.6
7618.316711,-48.48,66.8
7618.316711,-49.05,67.3
7618.316711,-49.47,69
7618.316711,-50.05,68.1
7618.316711,-50.47,64.7
7618.316711,-51.05,70.2
7618.316711,-51.45,66.5
7618.316711,-52.1,58.9
7618.316711,-52.6,58.9
7596.370501,-43.8,94
7596.370501,-44.3,87.5
7596.370501,-44.8,74.5
7596.370501,-45.3,78.1
7596.370501,-45.8,62.7
7596.370501,-46.3,65
7596.370501,-46.8,70.3
7596.370501,-47.3,69.8
7596.370501,-47.8,74.8
7596.370501,-48.3,69.8
7596.370501,-48.8,71.8
7596.370501,-49.3,71
7596.370501,-49.8,71.3
7596.370501,-50.3,71
7596.370501,-50.8,71.5
7595.457234,-43.2,95.3
7595.457234,-43.65,94.7
7595.457234,-44.2,82.8
7595.457234,-44.8,80.6
7595.457234,-45.3,67.8
7595.457234,-45.8,66.6
7595.457234,-46.3,76.5
7595.457234,-46.7,74.5
7595.457234,-47.3,78.6
7595.457234,-47.8,70.1
7595.457234,-48.3,71.9
7595.457234,-48.8,75.2
7595.457234,-49.25,76
7595.457234,-49.75,65.7
7595.457234,-50.25,37.6
7559.295029,-18,95.9
7559.295029,-19.93,97.2
7559.295029,-22,94.7
7559.295029,-24,93.2
7559.295029,-26,91.3
7559.295029,-28,89
7559.295029,-30,88
7559.295029,-32,84.6
7559.295029,-34,83
7559.295029,-36,85.1
7559.295029,-37,81.5
7559.295029,-38,82.2
7559.295029,-39,84.1
7559.295029,-40,83.2
7559.295029,-41,80.4
7559.295029,-41.85,84.1
7559.295029,-42.25,81.7
7559.295029,-42.85,87.5
7559.295029,-43.25,84.7
7559.295029,-43.85,74.7
7559.295029,-44.25,74.7
7559.295029,-44.85,67
7559.295029,-45.25,58.4
7559.295029,-47.4,71.2
7559.295029,-47.9,68.1
7559.295029,-48.4,69.7
7559.295029,-48.9,67.6
7559.295029,-49.4,65.8
7559.295029,-49.9,64.9
7559.295029,-50.4,69.3
7559.295029,-50.9,71.8
7528.234538,-43.45,79.2
7528.234538,-43.95,80.4
7528.234538,-44.45,70.8
7528.234538,-44.9,62.9
7528.234538,-45.45,66.6
7528.234538,-45.95,68.7
7528.234538,-46.45,64.5
7528.234538,-46.95,66.2
7528.234538,-47.45,64.1
7528.234538,-47.95,61.7
7528.234538,-48.45,64.4
7528.234538,-48.9,65.6
7528.234538,-49.55,64.6
7528.234538,-50.05,62.9
7528.234538,-50.55,58.4
7523.443163,-44.25,74.5
7523.443163,-44.75,81.2
7523.443163,-45.25,81.8
7523.443163,-45.75,72.7
7523.443163,-46.25,77.2
7523.443163,-46.75,67.6
7523.443163,-47.25,74.8
7523.443163,-47.75,73.6
7523.443163,-48.25,74.9
7523.443163,-48.75,70.8
7523.443163,-49.25,74
7523.443163,-49.75,71.8
7488.591954,-18.55,98.1
7488.591954,-20.55,99.2
7488.591954,-22.55,95.6
7488.591954,-24.55,91.9
7488.591954,-26.55,92.1
7488.591954,-28.55,89.5
7488.591954,-30.55,88.9
7488.591954,-32.55,83.1
7488.591954,-34.55,87.4
7488.591954,-36.55,83.9
7488.591954,-37.55,82.3
7488.591954,-38.55,81.3
7488.591954,-39.55,85.2
7488.591954,-40.65,85.2
7488.591954,-41.55,91.6
7488.591954,-42.55,93.7
7488.591954,-43.4,85.8
7488.591954,-43.8,74.6
7488.591954,-44.4,74.7
7488.591954,-44.8,52
7488.591954,-45.4,68.1
7488.591954,-45.8,65.4
7488.591954,-46.55,67.6
7488.591954,-47.55,64.3
7488.591954,-48.4,69.7
7488.591954,-48.8,76.7
7447.418245,-43.4,81.1
7447.418245,-43.9,78.8
7447.418245,-44.4,75.1
7447.418245,-44.95,76.3
7447.418245,-45.45,67.1
7447.418245,-45.95,84.8
7447.418245,-46.45,68.6
7447.418245,-46.95,64.8
7447.418245,-47.45,66.6
7447.418245,-47.95,67.4
7447.418245,-48.45,69.3
7447.418245,-48.95,73.2
7447.418245,-49.45,67.5
7447.418245,-49.95,67.8
7447.418245,-50.45,65.4
7447.418245,-50.95,61.9
7340.244076,-18.1,90.2
7340.244076,-20.1,95.1
7340.244076,-22.1,90.4
7340.244076,-24.1,89.4
7340.244076,-26.1,88.2
7340.244076,-28.1,85.4
7340.244076,-30.1,86
7340.244076,-32.1,78.5
7340.244076,-34.1,85.2
7340.244076,-35.95,80.8
7340.244076,-36.35,83.1
7340.244076,-36.95,81.1
7340.244076,-37.35,83.5
7340.244076,-37.95,82.4
7340.244076,-38.35,80.9
7340.244076,-39,81.9
7340.244076,-39.35,80.8
7340.244076,-40.05,83.1
7340.244076,-40.35,88.7
7340.244076,-40.95,92.3
7340.244076,-41.35,89.9
7340.244076,-41.95,89.2
7340.244076,-42.35,89.9
7340.244076,-42.95,79.1
7340.244076,-43.35,74
7340.244076,-43.95,69.1
7340.244076,-44.33,79.1
7340.244076,-44.95,68
7340.244076,-45.35,71.2
7340.244076,-45.9,75.5
7340.244076,-46.5,72.7
7340.244076,-47,72.8
7340.244076,-47.5,74.5
7340.244076,-48,67
7340.244076,-48.5,70.3
7340.244076,-49.5,67
7305.673507,-18.25,103.8
7305.673507,-20.25,110.6
7305.673507,-22.24,102.7
7305.673507,-25.23,103.4
7305.673507,-27.25,105.8
7305.673507,-28.23,101.3
7305.673507,-31.25,95.3
7305.673507,-32.25,89.3
7305.673507,-35.22,95.1
7305.673507,-36.25,97.2
7305.673507,-38.25,95.9
7305.673507,-40.25,81.9
7305.673507,-42.25,74.5
7305.673507,-44.24,85.3
7270.087216,-42.96,71.4
7270.087216,-43.45,71.2
7270.087216,-43.97,68.9
7270.087216,-44.47,65.8
7270.087216,-44.96,72
7270.087216,-45.46,78.3
7270.087216,-45.96,69.6
7270.087216,-46.46,71
7270.087216,-46.97,81.6
7270.087216,-47.47,73.5
7270.087216,-47.95,61.3
7152.549301,-19.1,93.8
7152.549301,-21.1,86.6
7152.549301,-23.1,88
7152.549301,-25.1,87.2
7152.549301,-27.1,86.2
7152.549301,-29.1,84.8
7152.549301,-31.1,83.4
7152.549301,-33.1,82.5
7152.549301,-35.1,82.5
7152.549301,-36.95,81.2
7152.549301,-37.35,78.2
7152.549301,-37.95,80.6
7152.549301,-38.35,79.3
7152.549301,-38.95,79.1
7152.549301,-39.35,82
