code A,code B,位置,開始年,,,終了年,,,,ボーリング上面の標高,ボーリング長さ,,N0,E0,,,,深度,標高,,,,,礫,砂,シルト,粘土,wl0,wp,土粒子密度,w,湿潤密度,間隙比,飽和度
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T- 1,1,1.8,1.4,-17.6,T- 1,P001,T- 1,P001,0,0,44,56,89,38.8,2.677,85.4,1.528,2.248,101.7
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T- 2,3,3.8,3.4,-19.6,T- 2,P002,T- 2,P002,0,1,47,52,93.7,36.3,2.663,83.6,1.508,2.244,99.3
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T- 3,5,5.8,5.4,-21.6,T- 3,P003,T- 3,P003,0,1,44,55,92.3,36.3,2.656,78.5,1.532,2.094,99.6
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T- 4,7,7.8,7.4,-23.6,T- 4,P004,T- 4,P004,0,1,46,53,83,29.5,2.664,70.7,1.574,1.89,99.6
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T- 5,9,9.8,9.4,-25.6,T- 5,P005,T- 5,P005,0,1,48,51,79.7,30.6,2.668,69.8,1.578,1.871,99.5
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T- 6,11,11.8,11.4,-27.6,T- 6,P006,T- 6,P006,0,1,48,51,78.3,31.6,2.657,65,1.602,1.737,99.5
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T- 7,13,13.8,13.4,-29.6,T- 7,P007,T- 7,P007,0,0,46,54,74.3,28.3,2.687,60.5,1.632,1.642,99
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T- 8,15,15.8,15.4,-31.6,T- 8,P008,T- 8,P008,0,0,49,51,76.4,30.6,2.681,63.6,1.614,1.719,99.3
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T- 9,17,17.8,17.4,-33.6,T- 9,P009,T- 9,P009,0,0,45,55,80.4,33.3,2.664,66.2,1.605,1.759,100.3
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T-10,19,19.8,19.4,-35.6,T-10,P010,T-10,P010,0,1,43,56,76.5,27,2.658,58.9,1.644,1.569,99.7
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T-11,21,21.8,21.4,-37.6,T-11,P011,T-11,P011,0,1,42,57,88.9,31.1,2.637,71.4,1.569,1.881,100.1
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,T-12,23,23.6,23.3,-39.5,T-12,P012,T-12,P012,3,4,47,46,52.2,22.1,2.644,49.2,1.709,1.309,99.4
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,P- 1,24,24.5,24.25,-40.45,P- 1,P013,P- 1,P013,6,24,27,43,0,0,2.644,38.9,0,0,0
O986P571,No.1    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,11,1998,7,20,KP,-16.2,33.5,0,34.6297693,135.2118769,P- 2,25,25.5,25.25,-41.45,P- 2,P014,P- 2,P014,0,1,41,58,0,0,2.623,37.5,0,0,0
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T- 1,1,1.8,1.4,-18.2,T- 1,P001,T- 1,P001,0,1,42,57,94.5,38.3,2.684,95.7,1.481,2.547,100.8
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T- 2,3,3.8,3.4,-20.2,T- 2,P002,T- 2,P002,0,0,43,57,92.3,40.4,2.674,80.8,1.528,2.165,99.7
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T- 3,5,5.8,5.4,-22.2,T- 3,P003,T- 3,P003,0,0,40,60,90.5,38.6,2.663,77.3,1.538,2.07,99.5
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T- 4,7,7.8,7.4,-24.2,T- 4,P004,T- 4,P004,0,0,46,54,85.6,35.1,2.671,72.1,1.571,1.926,100
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T- 5,9,9.8,9.4,-26.2,T- 5,P005,T- 5,P005,0,0,45,55,86.4,34.1,2.67,74.1,1.559,1.983,99.8
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T- 6,11,11.8,11.4,-28.2,T- 6,P006,T- 6,P006,0,0,46,54,84,33.7,2.664,72.3,1.572,1.921,100.2
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T- 7,13,13.8,13.4,-30.2,T- 7,P007,T- 7,P007,0,1,52,47,80.3,34.1,2.628,67.1,1.589,1.764,99.9
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T- 8,15,15.8,15.4,-32.2,T- 8,P008,T- 8,P008,0,0,44,56,82.2,31.2,2.686,67,1.597,1.81,99.5
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T- 9,17,17.8,17.4,-34.2,T- 9,P009,T- 9,P009,0,1,51,48,84.5,32.4,2.69,68.1,1.589,1.847,99.2
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T-10,19,19.8,19.4,-36.2,T-10,P010,T-10,P010,0,0,43,57,84.4,30.4,2.691,67,1.597,1.814,99.3
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T-11,21,21.8,21.4,-38.2,T-11,P011,T-11,P011,0,2,45,53,80.4,29.8,2.694,68.3,1.587,1.858,99.1
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T-12,23,23.8,23.4,-40.2,T-12,P012,T-12,P012,0,1,32,67,95.3,34.9,2.7,78.5,1.532,2.146,98.8
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T-13,25,25.8,25.4,-42.2,T-13,P013,T-13,P013,0,25,39,36,48.2,24.8,2.666,43,1.74,1.192,96.3
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T-14,27,27.8,27.4,-44.2,T-14,P014,T-14,P014,0,0,32,68,71.6,28.2,2.699,51.3,1.693,1.413,98
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,T-15,29,29.8,29.4,-46.2,T-15,P015,T-15,P015,0,0,33,67,75,29.6,2.703,49.3,1.715,1.352,98.5
O986P572,No.2    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,21,KP,-16.8,37.36,0,34.6281832,135.2265529,P- 1,30,30.5,30.25,-47.05,P- 1,P016,P- 1,P016,18,69,8,5,0,0,2.631,14.2,0,0,0
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 1,1,1.8,1.4,-18,T- 1,P001,T- 1,P001,0,3,51,46,96.8,29.3,2.7,97,1.463,2.635,99.4
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 2,3,3.8,3.4,-20,T- 2,P002,T- 2,P002,0,1,56,43,99,27.2,2.696,94.4,1.475,2.554,99.7
O986P573,No.3    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,18,1998,8,22,KP,-16.6,40.4,0,34.6357387,135.2402252,T- 3,5,5.8,5.4,-22,T- 3,P003,T- 3,P003,0,2,46,52,97.3,30.1,2.693,86.9,1.502,2.352,99.6
